md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
0.0,0.0,0.0,0.0,-920.0,0.0,0.0,0.0
100.0,0.0,0.0,100.0,-820.0,0.0,0.0,0.0
200.0,0.0,0.0,200.0,-720.0,0.0,0.0,0.0
300.0,0.0,0.0,300.0,-620.0,0.0,0.0,0.0
400.0,0.0,0.0,400.0,-520.0,0.0,0.0,0.0
500.0,0.0,0.0,500.0,-420.0,0.0,0.0,0.0
600.0,0.0,0.0,600.0,-320.0,0.0,0.0,0.0
700.0,0.0,0.0,700.0,-220.0,0.0,0.0,0.0
800.0,0.0,0.0,800.0,-120.0,0.0,0.0,0.0
900.0,0.0,0.0,900.0,-20.0,0.0,0.0,0.0
1000.0,0.0,0.0,1000.0,80.0,0.0,0.0,0.0
1100.0,0.0,0.0,1100.0,180.0,0.0,0.0,0.0
1200.0,0.0,0.0,1200.0,280.0,0.0,0.0,0.0
1300.0,0.0,0.0,1300.0,380.0,0.0,0.0,0.0
1400.0,0.0,0.0,1400.0,480.0,0.0,0.0,0.0
1500.0,0.0,0.0,1500.0,580.0,0.0,0.0,0.0
1600.0,0.0,0.0,1600.0,680.0,0.0,0.0,0.0
1700.0,0.0,0.0,1700.0,780.0,0.0,0.0,0.0
1800.0,0.0,0.0,1800.0,880.0,0.0,0.0,0.0
1900.0,0.0,0.0,1900.0,980.0,0.0,0.0,0.0
2000.0,0.0,0.0,2000.0,1080.0,0.0,0.0,0.0
2100.0,0.0,0.0,2100.0,1180.0,0.0,0.0,0.0
2200.0,0.0,0.0,2200.0,1280.0,0.0,0.0,0.0
2300.0,0.0,0.0,2300.0,1380.0,0.0,0.0,0.0
2400.0,0.0,0.0,2400.0,1480.0,0.0,0.0,0.0
2500.0,0.0,0.0,2500.0,1580.0,0.0,0.0,0.0
2600.0,0.0,0.0,2600.0,1680.0,0.0,0.0,0.0
2700.0,0.0,0.0,2700.0,1780.0,0.0,0.0,0.0
2800.0,0.0,0.0,2800.0,1880.0,0.0,0.0,0.0
2900.0,0.0,0.0,2900.0,1980.0,0.0,0.0,0.0
3000.0,0.0,0.0,3000.0,2080.0,0.0,0.0,0.0
3100.0,0.0,0.0,3100.0,2180.0,0.0,0.0,0.0
3200.0,0.0,215.67,3200.0,2280.0,0.0,0.0,0.0
3300.0,1.0,214.19,3299.98,2379.98,-0.98,-1.44,1.0
3400.0,2.0,216.02,3399.92,2479.92,-3.03,-4.27,1.0
3500.0,3.0,214.87,3499.79,2579.79,-6.03,-8.56,1.0
3600.0,4.0,215.1,3599.54,2679.54,-10.04,-14.27,1.0
3700.0,5.0,213.86,3699.16,2779.16,-14.89,-21.5,1.0
3800.0,6.0,215.98,3798.61,2878.61,-21.03,-29.96,1.02
3900.0,7.0,214.05,3897.87,2977.87,-27.86,-40.06,1.02
4000.0,8.0,214.52,3996.9,3076.9,-35.74,-51.53,1.0
4100.0,9.0,214.81,4095.67,3175.67,-44.67,-64.37,1.0
4200.0,10.0,215.81,4194.15,3274.15,-54.83,-78.45,1.01
4300.0,11.0,214.83,4292.31,3372.31,-65.73,-94.12,1.02
4400.0,12.0,214.45,4390.12,3470.12,-77.49,-111.26,1.0
4500.0,13.0,215.37,4487.56,3567.56,-90.51,-129.6,1.02
4600.0,14.0,214.27,4584.59,3664.59,-104.14,-149.6,1.03
4700.0,15.0,214.7,4681.18,3761.18,-118.87,-170.88,1.01
4800.0,16.0,215.98,4777.31,3857.31,-135.07,-193.18,1.06
4900.0,17.0,214.4,4872.94,3952.94,-151.58,-217.3,1.1
5000.0,18.0,215.3,4968.04,4048.04,-169.44,-242.52,1.04
5100.0,19.0,214.4,5062.6,4142.6,-187.83,-269.39,1.04
5200.0,20.0,214.92,5156.57,4236.57,-207.41,-297.43,1.01
5300.0,21.0,214.1,5249.92,4329.92,-227.5,-327.11,1.04
5400.0,22.0,214.22,5342.64,4422.64,-248.57,-358.08,1.0
5500.0,23.0,215.54,5434.69,4514.69,-271.29,-389.87,1.12
5600.0,24.0,214.24,5526.05,4606.05,-294.17,-423.5,1.13
5700.0,25.0,215.09,5616.68,4696.68,-318.46,-458.08,1.06
5800.0,26.0,214.7,5706.56,4786.56,-343.42,-494.12,1.01
5900.0,27.0,215.55,5795.66,4875.66,-369.81,-531.06,1.07
6000.0,28.0,213.93,5883.95,4963.95,-396.02,-570.01,1.25
6100.0,29.0,215.24,5971.41,5051.41,-423.99,-609.61,1.18
6200.0,30.0,214.77,6058.02,5138.02,-452.5,-650.68,1.03
6300.0,31.0,214.61,6143.73,5223.73,-481.75,-693.07,1.0
6400.0,32.0,214.82,6228.54,5308.54,-512.01,-736.58,1.01
6500.0,33.0,214.84,6312.41,5392.41,-543.13,-781.28,1.0
6600.0,34.0,216.09,6395.31,5475.31,-576.07,-826.47,1.22
6700.0,35.0,214.54,6477.23,5557.23,-608.59,-873.71,1.33
6800.0,36.0,215.74,6558.13,5638.13,-642.93,-921.42,1.22
6900.0,37.0,213.82,6637.99,5717.99,-676.42,-971.42,1.52
7000.0,38.0,214.05,6716.79,5796.79,-710.89,-1022.43,1.01
7100.0,39.0,214.54,6794.51,5874.51,-746.57,-1074.27,1.05
7200.0,40.0,214.8,6871.11,5951.11,-783.25,-1127.06,1.01
7300.0,41.0,214.45,6946.58,6026.58,-820.36,-1181.16,1.03
7400.0,42.0,215.27,7020.9,6100.9,-859.0,-1235.79,1.14
7500.0,42.0,215.53,7095.21,6175.21,-897.89,-1290.24,0.17
7600.0,42.0,213.83,7169.52,6249.52,-935.14,-1345.83,1.14
7700.0,42.0,214.87,7243.84,6323.84,-973.39,-1400.73,0.69
7800.0,42.0,215.08,7318.15,6398.15,-1011.85,-1455.49,0.14
7900.0,42.0,215.96,7392.47,6472.47,-1051.14,-1509.65,0.59
8000.0,42.0,214.94,7466.78,6546.78,-1089.46,-1564.5,0.69
8100.0,42.0,215.43,7541.1,6621.1,-1128.24,-1619.03,0.33
8200.0,42.0,214.27,7615.41,6695.41,-1165.92,-1674.32,0.77
8300.0,42.0,214.34,7689.73,6769.73,-1203.67,-1729.57,0.05
8400.0,42.0,214.64,7764.04,6844.04,-1241.71,-1784.62,0.2
8500.0,42.0,214.91,7838.36,6918.36,-1280.01,-1839.49,0.18
8600.0,42.0,215.32,7912.67,6992.67,-1318.7,-1894.09,0.28
8700.0,42.0,215.34,7986.98,7066.98,-1357.4,-1948.67,0.02
8800.0,42.0,214.2,8061.3,7141.3,-1395.01,-2004.01,0.77
8900.0,42.0,215.7,8135.61,7215.61,-1434.05,-2058.35,1.0
9000.0,42.0,215.05,8209.93,7289.93,-1472.48,-2113.13,0.43
9100.0,42.0,216.12,8284.24,7364.24,-1511.92,-2167.18,0.71
9200.0,42.0,213.95,8358.56,7438.56,-1549.29,-2222.69,1.45
