md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
0.0,0.0,0.0,0.0,-842.0,0.0,0.0,0.0
100.0,0.0,0.0,100.0,-742.0,0.0,0.0,0.0
200.0,0.0,0.0,200.0,-642.0,0.0,0.0,0.0
300.0,0.0,0.0,300.0,-542.0,0.0,0.0,0.0
400.0,0.0,0.0,400.0,-442.0,0.0,0.0,0.0
500.0,0.0,0.0,500.0,-342.0,0.0,0.0,0.0
600.0,0.0,0.0,600.0,-242.0,0.0,0.0,0.0
700.0,0.0,0.0,700.0,-142.0,0.0,0.0,0.0
800.0,0.0,0.0,800.0,-42.0,0.0,0.0,0.0
900.0,0.0,0.0,900.0,58.0,0.0,0.0,0.0
1000.0,0.0,0.0,1000.0,158.0,0.0,0.0,0.0
1100.0,0.0,0.0,1100.0,258.0,0.0,0.0,0.0
1200.0,0.0,84.99,1200.0,358.0,0.0,0.0,0.0
1300.0,2.42,85.23,1299.91,457.91,4.22,0.35,2.42
1400.0,4.85,85.06,1399.55,557.55,12.64,1.08,2.43
1500.0,7.27,86.2,1498.75,656.75,25.27,1.92,2.43
1600.0,9.7,83.81,1597.32,755.32,42.01,3.74,2.45
1700.0,12.12,83.92,1695.09,853.09,62.89,5.96,2.42
1800.0,14.55,86.04,1791.88,949.88,87.95,7.7,2.47
1900.0,16.97,84.7,1887.53,1045.53,117.01,10.39,2.45
2000.0,19.39,84.01,1981.86,1139.86,150.03,13.86,2.43
2100.0,21.82,86.14,2074.69,1232.69,187.12,16.36,2.54
2200.0,24.24,85.66,2165.87,1323.87,228.06,19.47,2.43
2300.0,26.67,84.44,2255.24,1413.24,272.73,23.82,2.48
2400.0,28.0,85.88,2343.53,1501.53,319.55,27.19,1.49
2500.0,28.0,84.01,2431.83,1589.83,366.24,32.1,0.88
2600.0,28.0,84.83,2520.12,1678.12,413.0,36.33,0.38
2700.0,28.0,85.11,2608.42,1766.42,459.77,40.33,0.13
2800.0,28.0,86.02,2696.71,1854.71,506.61,43.59,0.43
