md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
0.0,0.0,0.0,0.0,-126.0,0.0,0.0,0.0
100.0,0.0,0.0,100.0,-26.0,0.0,0.0,0.0
200.0,0.0,0.0,200.0,74.0,0.0,0.0,0.0
300.0,0.0,0.0,300.0,174.0,0.0,0.0,0.0
400.0,0.0,0.0,400.0,274.0,0.0,0.0,0.0
500.0,0.0,0.0,500.0,374.0,0.0,0.0,0.0
600.0,0.0,0.0,600.0,474.0,0.0,0.0,0.0
700.0,0.0,0.0,700.0,574.0,0.0,0.0,0.0
800.0,0.0,0.0,800.0,674.0,0.0,0.0,0.0
900.0,0.0,0.0,900.0,774.0,0.0,0.0,0.0
1000.0,0.0,0.0,1000.0,874.0,0.0,0.0,0.0
1100.0,0.0,0.0,1100.0,974.0,0.0,0.0,0.0
1200.0,0.0,0.0,1200.0,1074.0,0.0,0.0,0.0
1300.0,0.0,0.0,1300.0,1174.0,0.0,0.0,0.0
1400.0,0.0,0.0,1400.0,1274.0,0.0,0.0,0.0
1500.0,0.0,0.0,1500.0,1374.0,0.0,0.0,0.0
1600.0,0.0,0.0,1600.0,1474.0,0.0,0.0,0.0
1700.0,0.0,0.0,1700.0,1574.0,0.0,0.0,0.0
1800.0,0.0,0.0,1800.0,1674.0,0.0,0.0,0.0
1900.0,0.0,0.0,1900.0,1774.0,0.0,0.0,0.0
2000.0,0.0,0.0,2000.0,1874.0,0.0,0.0,0.0
2100.0,0.0,0.0,2100.0,1974.0,0.0,0.0,0.0
2200.0,0.0,0.0,2200.0,2074.0,0.0,0.0,0.0
2300.0,0.0,0.0,2300.0,2174.0,0.0,0.0,0.0
2400.0,0.0,0.0,2400.0,2274.0,0.0,0.0,0.0
2500.0,0.0,0.0,2500.0,2374.0,0.0,0.0,0.0
2600.0,0.0,0.0,2600.0,2474.0,0.0,0.0,0.0
2700.0,0.0,0.0,2700.0,2574.0,0.0,0.0,0.0
2800.0,0.0,0.0,2800.0,2674.0,0.0,0.0,0.0
2900.0,0.0,0.0,2900.0,2774.0,0.0,0.0,0.0
3000.0,0.0,0.0,3000.0,2874.0,0.0,0.0,0.0
3100.0,0.0,0.0,3100.0,2974.0,0.0,0.0,0.0
3200.0,0.0,0.0,3200.0,3074.0,0.0,0.0,0.0
3300.0,0.0,0.0,3300.0,3174.0,0.0,0.0,0.0
3400.0,0.0,0.0,3400.0,3274.0,0.0,0.0,0.0
3500.0,0.0,0.0,3500.0,3374.0,0.0,0.0,0.0
3600.0,0.0,0.0,3600.0,3474.0,0.0,0.0,0.0
3700.0,0.0,0.0,3700.0,3574.0,0.0,0.0,0.0
3800.0,0.0,0.0,3800.0,3674.0,0.0,0.0,0.0
3900.0,0.0,0.0,3900.0,3774.0,0.0,0.0,0.0
4000.0,0.0,0.0,4000.0,3874.0,0.0,0.0,0.0
4100.0,0.0,0.0,4100.0,3974.0,0.0,0.0,0.0
4200.0,0.0,0.0,4200.0,4074.0,0.0,0.0,0.0
4300.0,0.0,0.0,4300.0,4174.0,0.0,0.0,0.0
4400.0,0.0,0.0,4400.0,4274.0,0.0,0.0,0.0
4500.0,0.0,0.0,4500.0,4374.0,0.0,0.0,0.0
4600.0,0.0,0.0,4600.0,4474.0,0.0,0.0,0.0
4700.0,0.0,0.0,4700.0,4574.0,0.0,0.0,0.0
4800.0,0.0,0.0,4800.0,4674.0,0.0,0.0,0.0
4900.0,0.0,0.0,4900.0,4774.0,0.0,0.0,0.0
5000.0,0.0,0.0,5000.0,4874.0,0.0,0.0,0.0
5100.0,0.0,0.0,5100.0,4974.0,0.0,0.0,0.0
5200.0,0.0,0.0,5200.0,5074.0,0.0,0.0,0.0
