md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
0.0,0.0,0.0,0.0,-128.0,0.0,0.0,0.0
100.0,0.0,0.0,100.0,-28.0,0.0,0.0,0.0
200.0,0.0,0.0,200.0,72.0,0.0,0.0,0.0
300.0,0.0,0.0,300.0,172.0,0.0,0.0,0.0
400.0,0.0,0.0,400.0,272.0,0.0,0.0,0.0
500.0,0.0,0.0,500.0,372.0,0.0,0.0,0.0
600.0,0.0,0.0,600.0,472.0,0.0,0.0,0.0
700.0,0.0,0.0,700.0,572.0,0.0,0.0,0.0
800.0,0.0,0.0,800.0,672.0,0.0,0.0,0.0
900.0,0.0,0.0,900.0,772.0,0.0,0.0,0.0
1000.0,0.0,0.0,1000.0,872.0,0.0,0.0,0.0
1100.0,0.0,0.0,1100.0,972.0,0.0,0.0,0.0
1200.0,0.0,0.0,1200.0,1072.0,0.0,0.0,0.0
1300.0,0.0,0.0,1300.0,1172.0,0.0,0.0,0.0
1400.0,0.0,0.0,1400.0,1272.0,0.0,0.0,0.0
1500.0,0.0,0.0,1500.0,1372.0,0.0,0.0,0.0
1600.0,0.0,0.0,1600.0,1472.0,0.0,0.0,0.0
1700.0,0.0,0.0,1700.0,1572.0,0.0,0.0,0.0
1800.0,0.0,0.0,1800.0,1672.0,0.0,0.0,0.0
1900.0,0.0,0.0,1900.0,1772.0,0.0,0.0,0.0
2000.0,0.0,0.0,2000.0,1872.0,0.0,0.0,0.0
2100.0,0.0,0.0,2100.0,1972.0,0.0,0.0,0.0
2200.0,0.0,0.0,2200.0,2072.0,0.0,0.0,0.0
2300.0,0.0,0.0,2300.0,2172.0,0.0,0.0,0.0
2400.0,0.0,0.0,2400.0,2272.0,0.0,0.0,0.0
2500.0,0.0,0.0,2500.0,2372.0,0.0,0.0,0.0
2600.0,0.0,0.0,2600.0,2472.0,0.0,0.0,0.0
2700.0,0.0,0.0,2700.0,2572.0,0.0,0.0,0.0
2800.0,0.0,0.0,2800.0,2672.0,0.0,0.0,0.0
2900.0,0.0,0.0,2900.0,2772.0,0.0,0.0,0.0
3000.0,0.0,0.0,3000.0,2872.0,0.0,0.0,0.0
3100.0,0.0,0.0,3100.0,2972.0,0.0,0.0,0.0
3200.0,0.0,0.0,3200.0,3072.0,0.0,0.0,0.0
3300.0,0.0,0.0,3300.0,3172.0,0.0,0.0,0.0
3400.0,0.0,0.0,3400.0,3272.0,0.0,0.0,0.0
3500.0,0.0,0.0,3500.0,3372.0,0.0,0.0,0.0
3600.0,0.0,0.0,3600.0,3472.0,0.0,0.0,0.0
3700.0,0.0,0.0,3700.0,3572.0,0.0,0.0,0.0
3800.0,0.0,0.0,3800.0,3672.0,0.0,0.0,0.0
3900.0,0.0,0.0,3900.0,3772.0,0.0,0.0,0.0
4000.0,0.0,0.0,4000.0,3872.0,0.0,0.0,0.0
4100.0,0.0,0.0,4100.0,3972.0,0.0,0.0,0.0
4200.0,0.0,0.0,4200.0,4072.0,0.0,0.0,0.0
4300.0,0.0,0.0,4300.0,4172.0,0.0,0.0,0.0
4400.0,0.0,0.0,4400.0,4272.0,0.0,0.0,0.0
4500.0,0.0,0.0,4500.0,4372.0,0.0,0.0,0.0
4600.0,0.0,0.0,4600.0,4472.0,0.0,0.0,0.0
4700.0,0.0,0.0,4700.0,4572.0,0.0,0.0,0.0
4800.0,0.0,178.25,4800.0,4672.0,0.0,0.0,0.0
4900.0,1.65,178.79,4899.96,4771.96,0.06,-2.87,1.65
5000.0,3.29,178.83,4999.79,4871.79,0.18,-8.62,1.64
5100.0,4.94,178.48,5099.42,4971.42,0.41,-17.23,1.65
5200.0,6.59,177.81,5198.76,5070.76,0.84,-28.69,1.65
5300.0,8.24,178.48,5297.73,5169.73,1.23,-43.01,1.65
5400.0,9.88,177.43,5396.25,5268.25,2.0,-60.16,1.65
5500.0,11.53,177.82,5494.23,5366.23,2.75,-80.13,1.65
5600.0,13.18,177.72,5591.6,5463.6,3.66,-102.91,1.65
5700.0,14.82,177.71,5688.27,5560.27,4.69,-128.47,1.64
5800.0,16.47,177.52,5784.16,5656.16,5.91,-156.8,1.65
5900.0,18.12,178.91,5879.21,5751.21,6.5,-187.89,1.7
6000.0,19.76,178.05,5973.32,5845.32,7.66,-221.68,1.67
6100.0,21.41,179.0,6066.41,5938.41,8.29,-258.19,1.69
6200.0,23.06,178.39,6158.42,6030.42,9.39,-297.34,1.67
6300.0,24.71,176.9,6249.27,6121.27,11.66,-339.07,1.75
6400.0,26.35,179.03,6338.88,6210.88,12.41,-383.46,1.88
6500.0,28.0,178.37,6427.17,6299.17,13.74,-430.38,1.68
6600.0,29.65,178.73,6514.08,6386.08,14.84,-479.84,1.66
6700.0,31.29,177.76,6599.53,6471.53,16.87,-531.74,1.72
